Server Name,IP
airwave.nsd.org,10.1.20.13
bna.ad.nsd.org,10.1.24.37
ede.nsd.org,10.1.20.184
fortianalyzer1.nsd.org,10.1.22.23
fsan2.nsd.org,10.1.22.2
fsan3.nsd.org,10.3.9.200
ifasweb.ad.nsd.org,10.1.24.243
mailfile.mf.nsd.org,10.1.20.35
mailfile.nsd.org,10.1.20.35
